Timestamp,ACC_91C,ACC_912
2025-08-20T21:42:02.317Z,"{""x"": 16896, ""y"": 19455, ""z"": -27137}","{""x"": -10753, ""y"": 1023, ""z"": 18944}"
2025-08-20T21:42:02.317Z,"{""x"": 26112, ""y"": -8705, ""z"": -30465}","{""x"": -17409, ""y"": 17407, ""z"": 15616}"
2025-08-20T21:42:02.317Z,"{""x"": 26112, ""y"": -8705, ""z"": -30465}","{""x"": -10753, ""y"": 1023, ""z"": 18944}"
2025-08-20T21:42:02.762Z,"{""x"": -25600, ""y"": 11776, ""z"": -28417}","{""x"": -16642, ""y"": -15361, ""z"": 26624}"
2025-08-20T21:42:02.871Z,"{""x"": 14848, ""y"": 12799, ""z"": 27903}","{""x"": 22015, ""y"": -17409, ""z"": 32000}"
2025-08-20T21:42:03.266Z,"{""x"": -12032, ""y"": 29183, ""z"": -17921}","{""x"": -22017, ""y"": -31745, ""z"": -27138}"
2025-08-20T21:42:04.165Z,"{""x"": -22529, ""y"": 8961, ""z"": -4865}","{""x"": 28672, ""y"": -32768, ""z"": 26623}"
2025-08-20T21:42:04.363Z,"{""x"": -16642, ""y"": 17664, ""z"": 11776}","{""x"": 11009, ""y"": 32000, ""z"": -12033}"
2025-08-20T21:42:05.420Z,"{""x"": 7680, ""y"": 5631, ""z"": 32511}","{""x"": -12801, ""y"": -5634, ""z"": -30976}"
2025-08-20T21:42:05.717Z,"{""x"": 22015, ""y"": -767, ""z"": -13314}","{""x"": -28417, ""y"": 22272, ""z"": 13056}"
2025-08-20T21:42:06.369Z,"{""x"": 2303, ""y"": 29952, ""z"": -32513}","{""x"": -28928, ""y"": -26880, ""z"": 29952}"
2025-08-20T21:42:06.517Z,"{""x"": 1022, ""y"": 0, ""z"": 3583}","{""x"": -768, ""y"": -30208, ""z"": -32256}"
2025-08-20T21:42:06.665Z,"{""x"": 3841, ""y"": -11521, ""z"": -20481}","{""x"": 26624, ""y"": -30977, ""z"": -12032}"
2025-08-20T21:42:07.614Z,"{""x"": 5888, ""y"": -23810, ""z"": 21247}","{""x"": 32511, ""y"": -27137, ""z"": 13056}"
2025-08-20T21:42:08.118Z,"{""x"": -1025, ""y"": 5631, ""z"": -12801}","{""x"": 0, ""y"": 3583, ""z"": 19455}"
2025-08-20T21:42:08.464Z,"{""x"": 9728, ""y"": 6399, ""z"": -27905}","{""x"": -257, ""y"": 6911, ""z"": -25089}"
2025-08-20T21:42:08.671Z,"{""x"": -1025, ""y"": 3583, ""z"": -30208}","{""x"": 6400, ""y"": 3071, ""z"": -19970}"
2025-08-20T21:42:08.720Z,"{""x"": -6913, ""y"": 10239, ""z"": -19201}","{""x"": 8960, ""y"": 7679, ""z"": -23297}"
2025-08-20T21:42:09.314Z,"{""x"": -6145, ""y"": 4351, ""z"": 14847}","{""x"": 7680, ""y"": 4351, ""z"": 29440}"
2025-08-20T21:42:09.620Z,"{""x"": 22784, ""y"": -2306, ""z"": 14337}","{""x"": -16641, ""y"": 1791, ""z"": -9986}"
2025-08-20T21:42:09.768Z,"{""x"": 1792, ""y"": 10239, ""z"": 18176}","{""x"": 5120, ""y"": 9471, ""z"": 1792}"
2025-08-20T21:42:10.065Z,"{""x"": 8448, ""y"": -1538, ""z"": 4352}","{""x"": 5120, ""y"": 3583, ""z"": 22272}"
2025-08-20T21:42:10.263Z,"{""x"": 0, ""y"": 8959, ""z"": -32513}","{""x"": 10240, ""y"": 6911, ""z"": 3841}"
2025-08-20T21:42:11.014Z,"{""x"": -1025, ""y"": 4351, ""z"": -11521}","{""x"": 0, ""y"": 3583, ""z"": 29183}"
2025-08-20T21:42:11.570Z,"{""x"": 6400, ""y"": -1538, ""z"": -30976}","{""x"": -1537, ""y"": 1023, ""z"": 19967}"
2025-08-20T21:42:11.965Z,"{""x"": 3840, ""y"": -1026, ""z"": 31232}","{""x"": -2305, ""y"": -2306, ""z"": 7679}"
